City,Pickup_latitude,Pickup_longitude
Middle Grove,43.092312,-73.97033
Watertown,43.976735,-75.91199
New York,40.780751,-73.977182
Miller Place,40.946506,-72.98837
Shirley,40.794317,-72.87181
Fort Hunter,42.945701,-74.263312
Huguenot,41.436732,-74.64558
New Woodstock,42.837642,-75.84778
Newport,43.178528,-74.98117
White Plains,41.119008,-73.732996
Brooklyn,40.6788,-74.00254
Elmhurst,40.651378,-73.870779
Dexter,44.015332,-76.05711
Buffalo,42.768413,-78.887094
Point Lookout,40.593996,-73.58039
Center Moriches,40.797772,-72.79719
Rose,43.144795,-76.860779
Florida,41.332519,-74.35931
Endicott,42.206745,-75.74488
Corning,42.140881,-77.04793
Woodbourne,41.784477,-74.59109
Leonardsville,42.954541,-75.616793
New York,40.720666,-74.00526
New Hampton,41.384738,-74.41571
Wellesley Island,44.318866,-75.99068
Leon,42.298328,-79.006231
New York,40.780751,-73.977182
Brooklyn,40.645099,-73.945032
Albany,42.614852,-73.970812
Hadley,43.292593,-73.978
Fort Plain,42.943602,-74.64717
Mount Sinai,40.929242,-73.01317
Stephentown,42.552127,-73.39593
Pennellville,43.262012,-76.22912
Watervliet,42.729278,-73.70913
Albany,42.614852,-73.970812
Modena,41.664239,-74.1106
New York,40.758611,-73.97223
Shelter Island,41.060843,-72.33159
East Branch,42.018923,-75.11339
Glen Aubrey,42.254154,-76.01194
New York,40.780751,-73.977182
Sand Lake,42.638579,-73.48051
Argyle,43.246117,-73.455519
Cicero,43.171707,-76.09505
Homer,42.680693,-76.18566
Rome,43.239274,-75.47796
South Kortright,42.376254,-74.72258
Buffalo,42.968707,-78.8745
Rochester,43.286024,-77.684264
New York,40.826201,-73.94879
Blossvale,43.236303,-75.68087
Antwerp,44.243007,-75.60331
Hume,42.4777,-78.140343
Utica,43.239274,-75.47796
Linwood,42.915297,-77.949818
Peconic,41.03687,-72.45341
Poughkeepsie,41.759905,-73.743714
Syracuse,43.061116,-76.13733
Cassville,42.937739,-75.24946
Blauvelt,41.062779,-73.96016
Tuckahoe,40.958689,-73.82363
Mid Hudson,41.387822,-74.354699
New York,40.780751,-73.977182
Groveland,42.681361,-77.75302
Bronx,40.842173,-73.85862
Hancock,41.985839,-75.28214
Verbank,41.721384,-73.7162
Sauquoit,43.005669,-75.26202
Otto,42.357543,-78.807283
Stanfordville,41.89187,-73.69888
Garrattsville,42.64743,-75.17793
Franklin Square,40.701702,-73.67562
Astoria,40.774686,-73.90816
Lakeville,42.837786,-77.70625
Schenectady,42.833261,-74.058015
New York,40.758667,-73.98024
Herkimer,43.026416,-74.982271
Oakfield,43.077433,-78.27816
Maryknoll,41.119008,-73.732996
Brooklyn,40.645099,-73.945032
Medusa,42.456127,-74.14059
Jericho,40.786544,-73.53675
Rhinecliff,41.915068,-73.95173
Munnsville,42.967906,-75.59457
Conesus,42.706781,-77.68103
Thiells,41.208327,-74.02105
Cherry Plain,42.646742,-73.371611
Brooklyn,40.655481,-74.00424
Witherbee,44.08267,-73.530601
Buffalo,42.768413,-78.887094
Verona Beach,43.18852,-75.712551
Bronx,40.868643,-73.84735
